Date,Month,MonthSort,Year,Quarter,Channel,Source,Campaign,Impressions,Clicks,Spend,VideoViews,Conversions,Revenue,CTR_pct,CPM,CPC,ConversionRate_pct
2025-11-13,Nov 2025,2025-11,2025,Q4 2025,Organic,Google Ads,Competitor Search,211202,6336,17424.0,31680,380,209000.0,3.0,82.4992,2.75,5.9975
2025-11-02,Nov 2025,2025-11,2025,Q4 2025,Paid Social,LinkedIn Ads,Demo Requests,139536,4186,11511.5,20930,251,138050.0,2.9999,82.4984,2.75,5.9962
2026-03-02,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Amazon Ad Server,Retargeting Display,155596,4668,12837.0,23339,280,154000.0,3.0001,82.5021,2.75,5.9983
2025-11-30,Nov 2025,2025-11,2025,Q4 2025,Programmatic,LinkedIn Ads,LinkedIn Lead Gen,184816,5544,15246.0,27722,333,183150.0,2.9997,82.4929,2.75,6.0065
2025-11-19,Nov 2025,2025-11,2025,Q4 2025,Programmatic,LinkedIn Ads,Organic Content,24821,745,2048.75,3723,45,24750.0,3.0015,82.541,2.75,6.0403
2026-03-18,Mar 2026,2026-03,2026,Q1 2026,Paid Search,StackAdapt,Organic Content,131838,3955,10876.25,19776,237,130350.0,2.9999,82.4971,2.75,5.9924
2025-11-07,Nov 2025,2025-11,2025,Q4 2025,Organic,StackAdapt,Retargeting Display,30045,901,2477.75,4507,54,29700.0,2.9988,82.468,2.75,5.9933
2026-03-05,Mar 2026,2026-03,2026,Q1 2026,Organic,Bing Ads,LinkedIn Lead Gen,121842,3655,10051.25,18276,219,120450.0,2.9998,82.4941,2.75,5.9918
2026-04-15,Apr 2026,2026-04,2026,Q2 2026,Programmatic,Google Ads,Brand Search,42400,1272,3498.0,6360,76,41800.0,3.0,82.5,2.75,5.9748
2026-02-15,Feb 2026,2026-02,2026,Q1 2026,Paid Search,StackAdapt,Demo Requests,197206,5916,16269.0,29581,355,195250.0,2.9999,82.4975,2.75,6.0007
2026-03-16,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Google Ads,Email Nurture,163516,4905,13488.75,24527,294,161700.0,2.9997,82.4919,2.75,5.9939
2026-02-21,Feb 2026,2026-02,2026,Q1 2026,Paid Social,HubSpot,Awareness Push,235923,7078,19464.5,35388,425,233750.0,3.0001,82.5036,2.75,6.0045
2026-01-20,Jan 2026,2026-01,2026,Q1 2026,Paid Search,LinkedIn Ads,Competitor Search,179639,5389,14819.75,26946,323,177650.0,2.9999,82.4974,2.75,5.9937
2026-02-15,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Google Ads,Organic Content,27700,831,2285.25,4155,50,27500.0,3.0,82.5,2.75,6.0168
2026-03-24,Mar 2026,2026-03,2026,Q1 2026,Paid Social,StackAdapt,LinkedIn Lead Gen,195646,5869,16139.75,29347,352,193600.0,2.9998,82.4947,2.75,5.9976
2026-04-07,Apr 2026,2026-04,2026,Q2 2026,Paid Social,Facebook Ads,Demo Requests,15800,474,1303.5,2370,28,15400.0,3.0,82.5,2.75,5.9072
2025-12-30,Dec 2025,2025-12,2025,Q4 2025,Organic,Google Ads,Facebook Prospecting,47397,1422,3910.5,7110,85,46750.0,3.0002,82.5052,2.75,5.9775
2026-04-16,Apr 2026,2026-04,2026,Q2 2026,Organic,StackAdapt,Brand Search,120510,3615,9941.25,18077,217,119350.0,2.9998,82.4932,2.75,6.0028
2025-12-06,Dec 2025,2025-12,2025,Q4 2025,Paid Search,Facebook Ads,Retargeting Display,127040,3811,10480.25,19056,229,125950.0,2.9998,82.4957,2.75,6.0089
2026-02-22,Feb 2026,2026-02,2026,Q1 2026,Organic,Google Ads,Email Nurture,30290,909,2499.75,4544,55,30250.0,3.001,82.5272,2.75,6.0506
2026-04-01,Apr 2026,2026-04,2026,Q2 2026,Organic,Bing Ads,Competitor Search,113667,3410,9377.5,17050,205,112750.0,3.0,82.4998,2.75,6.0117
2025-12-21,Dec 2025,2025-12,2025,Q4 2025,Paid Search,Bing Ads,Google Nonbrand,70150,2105,5788.75,10523,126,69300.0,3.0007,82.5196,2.75,5.9857
2026-02-25,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Amazon Ad Server,Facebook Prospecting,133250,3998,10994.5,19988,240,132000.0,3.0004,82.5103,2.75,6.003
2026-04-02,Apr 2026,2026-04,2026,Q2 2026,Organic,Facebook Ads,Retargeting Display,208901,6267,17234.25,31335,376,206800.0,3.0,82.4996,2.75,5.9997
2026-04-12,Apr 2026,2026-04,2026,Q2 2026,Paid Social,Amazon Ad Server,LinkedIn Lead Gen,227765,6833,18790.75,34165,410,225500.0,3.0,82.5006,2.75,6.0003
2025-11-29,Nov 2025,2025-11,2025,Q4 2025,Paid Search,Google Analytics,Retargeting Display,44649,1339,3682.25,6697,80,44000.0,2.9989,82.4711,2.75,5.9746
2025-10-30,Oct 2025,2025-10,2025,Q4 2025,Programmatic,Google Ads,Email Nurture,69455,2084,5731.0,10418,125,68750.0,3.0005,82.5139,2.75,5.9981
2026-04-14,Apr 2026,2026-04,2026,Q2 2026,Paid Search,Amazon Ad Server,Retargeting Display,166580,4997,13741.75,24987,300,165000.0,2.9998,82.4934,2.75,6.0036
2025-11-10,Nov 2025,2025-11,2025,Q4 2025,Paid Search,Google Ads,Retargeting Display,116005,3480,9570.0,17401,209,114950.0,2.9999,82.4964,2.75,6.0057
2026-02-04,Feb 2026,2026-02,2026,Q1 2026,Organic,Facebook Ads,Google Nonbrand,223757,6713,18460.75,33564,403,221650.0,3.0001,82.5036,2.75,6.0033
2025-12-23,Dec 2025,2025-12,2025,Q4 2025,Organic,LinkedIn Ads,Competitor Search,186538,5596,15389.0,27981,336,184800.0,2.9999,82.4979,2.75,6.0043
2026-03-11,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Facebook Ads,Organic Content,134512,4035,11096.25,20177,242,133100.0,2.9997,82.4926,2.75,5.9975
2026-03-27,Mar 2026,2026-03,2026,Q1 2026,Paid Search,Google Ads,Awareness Push,216808,6504,17886.0,32521,390,214500.0,2.9999,82.497,2.75,5.9963
2026-02-24,Feb 2026,2026-02,2026,Q1 2026,Paid Search,Google Analytics,Awareness Push,124578,3737,10276.75,18687,224,123200.0,2.9997,82.4925,2.75,5.9941
2026-01-30,Jan 2026,2026-01,2026,Q1 2026,Programmatic,LinkedIn Ads,Organic Content,165283,4958,13634.5,24792,297,163350.0,2.9997,82.4918,2.75,5.9903
2026-03-09,Mar 2026,2026-03,2026,Q1 2026,Paid Social,StackAdapt,Enterprise ABM,114742,3442,9465.5,17211,207,113850.0,2.9998,82.4938,2.75,6.0139
2026-01-19,Jan 2026,2026-01,2026,Q1 2026,Programmatic,Facebook Ads,Enterprise ABM,218724,6562,18045.5,32809,394,216700.0,3.0001,82.5035,2.75,6.0043
2026-02-05,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Bing Ads,Email Nurture,25107,753,2070.75,3766,45,24750.0,2.9992,82.477,2.75,5.9761
2026-01-02,Jan 2026,2026-01,2026,Q1 2026,Paid Search,StackAdapt,Google Nonbrand,28400,852,2343.0,4260,51,28050.0,3.0,82.5,2.75,5.9859
2026-02-13,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Google Analytics,Facebook Prospecting,114444,3433,9440.75,17167,206,113300.0,2.9997,82.4923,2.75,6.0006
2026-04-24,Apr 2026,2026-04,2026,Q2 2026,Paid Search,Google Ads,Enterprise ABM,240489,7215,19841.25,36073,433,238150.0,3.0001,82.5038,2.75,6.0014
2025-12-24,Dec 2025,2025-12,2025,Q4 2025,Paid Search,LinkedIn Ads,Organic Content,180151,5405,14863.75,27023,324,178200.0,3.0003,82.5072,2.75,5.9944
2026-01-02,Jan 2026,2026-01,2026,Q1 2026,Programmatic,Amazon Ad Server,Email Nurture,241244,7237,19901.75,36187,434,238700.0,2.9999,82.4964,2.75,5.997
2026-04-11,Apr 2026,2026-04,2026,Q2 2026,Paid Search,Google Analytics,Email Nurture,50669,1520,4180.0,7600,91,50050.0,2.9999,82.4962,2.75,5.9868
2026-02-25,Feb 2026,2026-02,2026,Q1 2026,Programmatic,StackAdapt,Enterprise ABM,47270,1418,3899.5,7091,85,46750.0,2.9998,82.4942,2.75,5.9944
2025-10-31,Oct 2025,2025-10,2025,Q4 2025,Paid Search,Amazon Ad Server,Competitor Search,1679,50,137.5,252,3,1650.0,2.978,81.894,2.75,6.0
2025-11-07,Nov 2025,2025-11,2025,Q4 2025,Organic,StackAdapt,Awareness Push,182347,5470,15042.5,27352,328,180400.0,2.9998,82.4938,2.75,5.9963
2026-03-07,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Google Ads,Google Nonbrand,167863,5036,13849.0,25179,302,166100.0,3.0001,82.5018,2.75,5.9968
2026-04-14,Apr 2026,2026-04,2026,Q2 2026,Programmatic,Google Ads,Google Nonbrand,242846,7285,20033.75,36427,437,240350.0,2.9998,82.4957,2.75,5.9986
2025-11-18,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Facebook Ads,Competitor Search,186749,5602,15405.5,28012,336,184800.0,2.9997,82.4931,2.75,5.9979
2026-02-18,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Amazon Ad Server,Awareness Push,77952,2339,6432.25,11693,140,77000.0,3.0006,82.5155,2.75,5.9855
2025-11-14,Nov 2025,2025-11,2025,Q4 2025,Paid Search,Google Ads,Brand Search,110475,3314,9113.5,16571,199,109450.0,2.9998,82.4938,2.75,6.0048
2026-01-22,Jan 2026,2026-01,2026,Q1 2026,Programmatic,Amazon Ad Server,Email Nurture,61477,1844,5071.0,9222,111,61050.0,2.9995,82.4861,2.75,6.0195
2026-02-12,Feb 2026,2026-02,2026,Q1 2026,Paid Social,HubSpot,Competitor Search,123149,3694,10158.5,18472,222,122100.0,2.9996,82.4895,2.75,6.0097
2025-12-05,Dec 2025,2025-12,2025,Q4 2025,Paid Social,StackAdapt,Bing Search,50985,1530,4207.5,7648,92,50600.0,3.0009,82.5243,2.75,6.0131
2026-04-19,Apr 2026,2026-04,2026,Q2 2026,Organic,Google Analytics,Brand Search,48250,1448,3982.0,7238,87,47850.0,3.001,82.5285,2.75,6.0083
2025-11-28,Nov 2025,2025-11,2025,Q4 2025,Programmatic,HubSpot,Organic Content,78971,2369,6514.75,11846,142,78100.0,2.9998,82.4955,2.75,5.9941
2025-11-01,Nov 2025,2025-11,2025,Q4 2025,Paid Social,StackAdapt,Bing Search,19426,583,1603.25,2914,35,19250.0,3.0011,82.5311,2.75,6.0034
2025-12-11,Dec 2025,2025-12,2025,Q4 2025,Organic,HubSpot,Google Nonbrand,47149,1414,3888.5,7072,85,46750.0,2.999,82.4726,2.75,6.0113
2026-01-22,Jan 2026,2026-01,2026,Q1 2026,Organic,StackAdapt,Retargeting Display,132976,3989,10969.75,19946,239,131450.0,2.9998,82.4942,2.75,5.9915
2025-12-02,Dec 2025,2025-12,2025,Q4 2025,Paid Search,HubSpot,LinkedIn Lead Gen,67098,2013,5535.75,10065,121,66550.0,3.0001,82.5025,2.75,6.0109
2025-11-07,Nov 2025,2025-11,2025,Q4 2025,Paid Search,Facebook Ads,Awareness Push,200279,6008,16522.0,30042,360,198000.0,2.9998,82.4949,2.75,5.992
2026-04-25,Apr 2026,2026-04,2026,Q2 2026,Paid Search,Google Ads,Google Nonbrand,22995,690,1897.5,3449,41,22550.0,3.0007,82.5179,2.75,5.942
2025-12-15,Dec 2025,2025-12,2025,Q4 2025,Paid Social,Bing Ads,Organic Content,139198,4176,11484.0,20880,251,138050.0,3.0,82.5012,2.75,6.0105
2026-03-23,Mar 2026,2026-03,2026,Q1 2026,Paid Social,LinkedIn Ads,Organic Content,144832,4345,11948.75,21725,261,143550.0,3.0,82.5008,2.75,6.0069
2025-11-17,Nov 2025,2025-11,2025,Q4 2025,Organic,StackAdapt,Email Nurture,183608,5508,15147.0,27541,330,181500.0,2.9999,82.4964,2.75,5.9913
2025-11-05,Nov 2025,2025-11,2025,Q4 2025,Organic,HubSpot,Competitor Search,230997,6930,19057.5,34650,416,228800.0,3.0,82.5011,2.75,6.0029
2025-11-24,Nov 2025,2025-11,2025,Q4 2025,Paid Search,Bing Ads,Enterprise ABM,146855,4406,12116.5,22028,264,145200.0,3.0002,82.5066,2.75,5.9918
2026-01-06,Jan 2026,2026-01,2026,Q1 2026,Paid Search,Google Ads,Brand Search,21945,658,1809.5,3292,39,21450.0,2.9984,82.4561,2.75,5.9271
2025-10-29,Oct 2025,2025-10,2025,Q4 2025,Programmatic,Google Ads,LinkedIn Lead Gen,77207,2316,6369.0,11581,139,76450.0,2.9997,82.4925,2.75,6.0017
2026-01-05,Jan 2026,2026-01,2026,Q1 2026,Paid Social,LinkedIn Ads,Organic Content,95891,2877,7911.75,14384,173,95150.0,3.0003,82.5077,2.75,6.0132
2026-02-26,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Facebook Ads,Organic Content,122791,3684,10131.0,18419,221,121550.0,3.0002,82.506,2.75,5.9989
2025-11-06,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Google Analytics,Demo Requests,120601,3618,9949.5,18090,217,119350.0,3.0,82.4993,2.75,5.9978
2026-03-25,Mar 2026,2026-03,2026,Q1 2026,Paid Social,HubSpot,Email Nurture,202024,6061,16667.75,30304,364,200200.0,3.0001,82.5038,2.75,6.0056
2026-03-04,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Amazon Ad Server,Bing Search,209097,6273,17250.75,31365,376,206800.0,3.0,82.5012,2.75,5.9939
2026-02-12,Feb 2026,2026-02,2026,Q1 2026,Paid Social,LinkedIn Ads,Awareness Push,126641,3799,10447.25,18996,228,125400.0,2.9998,82.495,2.75,6.0016
2026-02-25,Feb 2026,2026-02,2026,Q1 2026,Programmatic,Bing Ads,Email Nurture,177169,5315,14616.25,26575,319,175450.0,3.0,82.4989,2.75,6.0019
2026-03-27,Mar 2026,2026-03,2026,Q1 2026,Programmatic,LinkedIn Ads,Email Nurture,76499,2295,6311.25,11475,138,75900.0,3.0,82.5011,2.75,6.0131
2026-03-18,Mar 2026,2026-03,2026,Q1 2026,Paid Search,Google Ads,LinkedIn Lead Gen,160861,4826,13271.5,24129,290,159500.0,3.0001,82.5029,2.75,6.0091
2026-04-05,Apr 2026,2026-04,2026,Q2 2026,Programmatic,Facebook Ads,LinkedIn Lead Gen,148619,4459,12262.25,22293,268,147400.0,3.0003,82.508,2.75,6.0103
2026-04-11,Apr 2026,2026-04,2026,Q2 2026,Paid Search,Google Analytics,Bing Search,41142,1234,3393.5,6171,74,40700.0,2.9994,82.4826,2.75,5.9968
2026-01-03,Jan 2026,2026-01,2026,Q1 2026,Programmatic,Google Analytics,Awareness Push,82916,2487,6839.25,12437,149,81950.0,2.9994,82.4841,2.75,5.9912
2026-04-02,Apr 2026,2026-04,2026,Q2 2026,Organic,Google Analytics,Demo Requests,45309,1359,3737.25,6796,82,45100.0,2.9994,82.4836,2.75,6.0338
2025-11-26,Nov 2025,2025-11,2025,Q4 2025,Organic,HubSpot,Demo Requests,179017,5371,14770.25,26853,322,177100.0,3.0003,82.5075,2.75,5.9952
2026-02-22,Feb 2026,2026-02,2026,Q1 2026,Paid Social,LinkedIn Ads,Brand Search,157870,4736,13024.0,23681,284,156200.0,2.9999,82.4983,2.75,5.9966
2026-03-11,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Facebook Ads,Facebook Prospecting,86495,2595,7136.25,12974,156,85800.0,3.0002,82.5048,2.75,6.0116
2026-04-25,Apr 2026,2026-04,2026,Q2 2026,Paid Social,LinkedIn Ads,Awareness Push,66382,1991,5475.25,9957,119,65450.0,2.9993,82.4809,2.75,5.9769
2026-02-13,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Google Analytics,Enterprise ABM,220066,6602,18155.5,33010,396,217800.0,3.0,82.5002,2.75,5.9982
2026-04-25,Apr 2026,2026-04,2026,Q2 2026,Organic,HubSpot,Brand Search,6994,210,577.5,1049,13,7150.0,3.0026,82.5708,2.75,6.1905
2025-11-28,Nov 2025,2025-11,2025,Q4 2025,Paid Social,LinkedIn Ads,Brand Search,101433,3043,8368.25,15215,183,100650.0,3.0,82.5003,2.75,6.0138
2026-02-24,Feb 2026,2026-02,2026,Q1 2026,Programmatic,Bing Ads,Demo Requests,169930,5098,14019.5,25490,306,168300.0,3.0001,82.5016,2.75,6.0024
2026-03-02,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Google Ads,LinkedIn Lead Gen,200141,6004,16511.0,30021,360,198000.0,2.9999,82.4968,2.75,5.996
2026-01-20,Jan 2026,2026-01,2026,Q1 2026,Paid Search,StackAdapt,Awareness Push,46619,1399,3847.25,6993,84,46200.0,3.0009,82.5254,2.75,6.0043
2026-01-12,Jan 2026,2026-01,2026,Q1 2026,Paid Social,Google Analytics,Awareness Push,144722,4342,11940.5,21708,261,143550.0,3.0002,82.5065,2.75,6.0111
2026-03-01,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Facebook Ads,Awareness Push,103021,3091,8500.25,15453,185,101750.0,3.0004,82.5099,2.75,5.9851
2026-02-12,Feb 2026,2026-02,2026,Q1 2026,Paid Search,Amazon Ad Server,Organic Content,54377,1631,4485.25,8157,98,53900.0,2.9994,82.4843,2.75,6.0086
2025-11-04,Nov 2025,2025-11,2025,Q4 2025,Paid Search,StackAdapt,Enterprise ABM,12330,370,1017.5,1850,22,12100.0,3.0008,82.5223,2.75,5.9459
2025-11-18,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Bing Ads,Demo Requests,15179,455,1251.25,2277,27,14850.0,2.9976,82.433,2.75,5.9341
2026-03-03,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Facebook Ads,Organic Content,207836,6235,17146.25,31175,374,205700.0,3.0,82.4989,2.75,5.9984
2025-11-06,Nov 2025,2025-11,2025,Q4 2025,Paid Social,HubSpot,Email Nurture,191241,5737,15776.75,28686,344,189200.0,2.9999,82.4967,2.75,5.9962
2026-01-11,Jan 2026,2026-01,2026,Q1 2026,Programmatic,Amazon Ad Server,Bing Search,53795,1614,4438.5,8069,97,53350.0,3.0003,82.5077,2.75,6.0099
2025-11-05,Nov 2025,2025-11,2025,Q4 2025,Programmatic,Google Ads,Google Nonbrand,14698,441,1212.75,2205,26,14300.0,3.0004,82.5112,2.75,5.8957
2025-11-18,Nov 2025,2025-11,2025,Q4 2025,Organic,LinkedIn Ads,Demo Requests,4972,149,409.75,746,9,4950.0,2.9968,82.4115,2.75,6.0403
2026-04-22,Apr 2026,2026-04,2026,Q2 2026,Paid Search,Google Analytics,Brand Search,2928,88,242.0,439,5,2750.0,3.0055,82.6503,2.75,5.6818
2025-10-31,Oct 2025,2025-10,2025,Q4 2025,Organic,Google Analytics,LinkedIn Lead Gen,164620,4939,13582.25,24693,296,162800.0,3.0002,82.5067,2.75,5.9931
2025-12-08,Dec 2025,2025-12,2025,Q4 2025,Paid Social,Google Ads,Bing Search,8313,249,684.75,1247,15,8250.0,2.9953,82.371,2.75,6.0241
2025-11-01,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Google Ads,Brand Search,133313,3999,10997.25,19997,240,132000.0,2.9997,82.492,2.75,6.0015
2026-03-04,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Amazon Ad Server,Competitor Search,94857,2846,7826.5,14229,171,94050.0,3.0003,82.5084,2.75,6.0084
2026-02-18,Feb 2026,2026-02,2026,Q1 2026,Programmatic,StackAdapt,Retargeting Display,153894,4617,12696.75,23084,277,152350.0,3.0001,82.5032,2.75,5.9996
2026-04-09,Apr 2026,2026-04,2026,Q2 2026,Paid Search,HubSpot,LinkedIn Lead Gen,147413,4422,12160.5,22112,265,145750.0,2.9997,82.4927,2.75,5.9928
2025-12-19,Dec 2025,2025-12,2025,Q4 2025,Paid Social,Facebook Ads,Google Nonbrand,19167,575,1581.25,2875,35,19250.0,2.9999,82.4986,2.75,6.087
2026-03-16,Mar 2026,2026-03,2026,Q1 2026,Paid Search,LinkedIn Ads,Email Nurture,35930,1078,2964.5,5390,65,35750.0,3.0003,82.5077,2.75,6.0297
2025-11-24,Nov 2025,2025-11,2025,Q4 2025,Organic,Google Ads,Google Nonbrand,27000,810,2227.5,4050,49,26950.0,3.0,82.5,2.75,6.0494
2026-03-09,Mar 2026,2026-03,2026,Q1 2026,Paid Search,LinkedIn Ads,Email Nurture,204994,6150,16912.5,30749,369,202950.0,3.0001,82.5024,2.75,6.0
2025-11-28,Nov 2025,2025-11,2025,Q4 2025,Organic,Bing Ads,Bing Search,178024,5341,14687.75,26704,320,176000.0,3.0002,82.5043,2.75,5.9914
2026-01-14,Jan 2026,2026-01,2026,Q1 2026,Paid Search,Google Analytics,Enterprise ABM,31914,957,2631.75,4787,57,31350.0,2.9987,82.4638,2.75,5.9561
2026-02-24,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Google Analytics,Awareness Push,117126,3514,9663.5,17569,211,116050.0,3.0002,82.5052,2.75,6.0046
2026-02-20,Feb 2026,2026-02,2026,Q1 2026,Organic,Facebook Ads,Bing Search,92138,2764,7601.0,13821,166,91300.0,2.9998,82.4958,2.75,6.0058
2026-04-17,Apr 2026,2026-04,2026,Q2 2026,Paid Search,Amazon Ad Server,Retargeting Display,176807,5304,14586.0,26521,318,174900.0,2.9999,82.4967,2.75,5.9955
2025-11-05,Nov 2025,2025-11,2025,Q4 2025,Organic,Google Ads,Bing Search,93966,2819,7752.25,14095,169,92950.0,3.0,82.5006,2.75,5.995
2026-01-27,Jan 2026,2026-01,2026,Q1 2026,Paid Search,HubSpot,Email Nurture,243229,7297,20066.75,36484,438,240900.0,3.0001,82.5015,2.75,6.0025
2026-01-09,Jan 2026,2026-01,2026,Q1 2026,Programmatic,Facebook Ads,Organic Content,15917,478,1314.5,2388,29,15950.0,3.0031,82.5847,2.75,6.0669
2025-11-24,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Amazon Ad Server,Google Nonbrand,70038,2101,5777.75,10506,126,69300.0,2.9998,82.4945,2.75,5.9971
2026-04-19,Apr 2026,2026-04,2026,Q2 2026,Paid Social,Bing Ads,Retargeting Display,218548,6556,18029.0,32782,393,216150.0,2.9998,82.4945,2.75,5.9945
2026-04-09,Apr 2026,2026-04,2026,Q2 2026,Paid Social,Google Ads,Brand Search,1918,58,159.5,288,3,1650.0,3.024,83.1595,2.75,5.1724
2026-01-15,Jan 2026,2026-01,2026,Q1 2026,Paid Social,Google Ads,Demo Requests,31698,951,2615.25,4755,57,31350.0,3.0002,82.5052,2.75,5.9937
2026-03-09,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Google Ads,LinkedIn Lead Gen,222947,6688,18392.0,33442,401,220550.0,2.9998,82.4949,2.75,5.9958
2026-02-09,Feb 2026,2026-02,2026,Q1 2026,Organic,LinkedIn Ads,LinkedIn Lead Gen,72603,2178,5989.5,10890,131,72050.0,2.9999,82.4966,2.75,6.0147
2026-02-07,Feb 2026,2026-02,2026,Q1 2026,Paid Search,Google Analytics,Facebook Prospecting,161661,4850,13337.5,24249,291,160050.0,3.0001,82.5029,2.75,6.0
2026-01-11,Jan 2026,2026-01,2026,Q1 2026,Organic,Facebook Ads,Competitor Search,220454,6614,18188.5,33068,397,218350.0,3.0002,82.5047,2.75,6.0024
2026-02-25,Feb 2026,2026-02,2026,Q1 2026,Programmatic,Google Analytics,Bing Search,131988,3960,10890.0,19798,238,130900.0,3.0003,82.5075,2.75,6.0101
2025-12-25,Dec 2025,2025-12,2025,Q4 2025,Paid Search,StackAdapt,Google Nonbrand,95878,2876,7909.0,14382,173,95150.0,2.9996,82.4902,2.75,6.0153
2026-04-18,Apr 2026,2026-04,2026,Q2 2026,Programmatic,Facebook Ads,Enterprise ABM,24622,739,2032.25,3693,44,24200.0,3.0014,82.538,2.75,5.954
2026-03-22,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Amazon Ad Server,Google Nonbrand,165605,4968,13662.0,24841,298,163900.0,2.9999,82.4975,2.75,5.9984
2025-11-10,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Amazon Ad Server,LinkedIn Lead Gen,185582,5567,15309.25,27837,334,183700.0,2.9998,82.4932,2.75,5.9996
2026-01-12,Jan 2026,2026-01,2026,Q1 2026,Paid Search,Facebook Ads,Awareness Push,137861,4136,11374.0,20679,248,136400.0,3.0001,82.5034,2.75,5.9961
2026-02-01,Feb 2026,2026-02,2026,Q1 2026,Organic,Google Ads,Enterprise ABM,124119,3724,10241.0,18618,223,122650.0,3.0003,82.5095,2.75,5.9882
2025-10-31,Oct 2025,2025-10,2025,Q4 2025,Programmatic,Amazon Ad Server,LinkedIn Lead Gen,57323,1720,4730.0,8598,103,56650.0,3.0005,82.5149,2.75,5.9884
2026-02-28,Feb 2026,2026-02,2026,Q1 2026,Organic,HubSpot,Brand Search,130072,3902,10730.5,19511,234,128700.0,2.9999,82.4966,2.75,5.9969
2026-01-02,Jan 2026,2026-01,2026,Q1 2026,Organic,StackAdapt,Enterprise ABM,168407,5052,13893.0,25261,303,166650.0,2.9999,82.4966,2.75,5.9976
2026-03-10,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Bing Ads,Google Nonbrand,30451,914,2513.5,4568,55,30250.0,3.0015,82.5424,2.75,6.0175
2025-12-03,Dec 2025,2025-12,2025,Q4 2025,Programmatic,Facebook Ads,Awareness Push,232653,6980,19195.0,34898,419,230450.0,3.0002,82.5048,2.75,6.0029
2025-12-23,Dec 2025,2025-12,2025,Q4 2025,Programmatic,Facebook Ads,Retargeting Display,117101,3513,9660.75,17565,211,116050.0,3.0,82.4993,2.75,6.0063
2026-04-03,Apr 2026,2026-04,2026,Q2 2026,Paid Search,Google Ads,Bing Search,232118,6964,19151.0,34818,418,229900.0,3.0002,82.5054,2.75,6.0023
2025-11-02,Nov 2025,2025-11,2025,Q4 2025,Programmatic,Bing Ads,Facebook Prospecting,5135,154,423.5,770,9,4950.0,2.999,82.4732,2.75,5.8442
2026-01-26,Jan 2026,2026-01,2026,Q1 2026,Paid Search,Facebook Ads,Organic Content,17717,532,1463.0,2658,32,17600.0,3.0028,82.5761,2.75,6.015
2026-04-15,Apr 2026,2026-04,2026,Q2 2026,Paid Social,Google Ads,LinkedIn Lead Gen,165208,4956,13629.0,24781,297,163350.0,2.9999,82.496,2.75,5.9927
2026-01-20,Jan 2026,2026-01,2026,Q1 2026,Paid Search,Amazon Ad Server,Retargeting Display,181165,5435,14946.25,27175,326,179300.0,3.0,82.5008,2.75,5.9982
2026-02-02,Feb 2026,2026-02,2026,Q1 2026,Programmatic,Google Ads,Facebook Prospecting,183929,5518,15174.5,27589,331,182050.0,3.0001,82.5019,2.75,5.9986
2025-12-14,Dec 2025,2025-12,2025,Q4 2025,Programmatic,Google Analytics,Enterprise ABM,60204,1806,4966.5,9031,108,59400.0,2.9998,82.4945,2.75,5.9801
2026-03-31,Mar 2026,2026-03,2026,Q1 2026,Programmatic,HubSpot,Bing Search,188083,5642,15515.5,28212,339,186450.0,2.9997,82.4928,2.75,6.0085
2025-12-15,Dec 2025,2025-12,2025,Q4 2025,Paid Search,Bing Ads,Google Nonbrand,26818,805,2213.75,4023,48,26400.0,3.0017,82.5472,2.75,5.9627
2025-11-27,Nov 2025,2025-11,2025,Q4 2025,Paid Search,Amazon Ad Server,Awareness Push,102287,3069,8439.75,15343,184,101200.0,3.0004,82.5105,2.75,5.9954
2026-01-16,Jan 2026,2026-01,2026,Q1 2026,Paid Social,Amazon Ad Server,Enterprise ABM,85314,2559,7037.25,12797,154,84700.0,2.9995,82.4865,2.75,6.018
2025-11-29,Nov 2025,2025-11,2025,Q4 2025,Programmatic,Google Analytics,Email Nurture,219888,6597,18141.75,32983,396,217800.0,3.0002,82.5045,2.75,6.0027
